année,taux_chomage
2024-Q4,10.1
2024-Q3,10.4
2024-Q2,10.1
2024-Q1,10.3
2023-Q4,10.4
2023-Q3,10.3
2023-Q2,10.0
2023-Q1,9.9
2022-Q4,9.9
2022-Q3,10.0
2022-Q2,10.3
2022-Q1,10.2
2021-Q4,10.2
2021-Q3,10.8
2021-Q2,10.9
2021-Q1,11.2
2020-Q4,11.0
2020-Q3,12.3
2020-Q2,10.0
2020-Q1,11.1
2019-Q4,11.4
2019-Q3,11.7
2019-Q2,11.8
2019-Q1,12.3
2018-Q4,12.2
2018-Q3,12.5
2018-Q2,12.6
2018-Q1,12.9
2017-Q4,12.6
2017-Q3,13.0
2017-Q2,13.0
2017-Q1,13.2
2016-Q4,13.9
2016-Q3,13.4
2016-Q2,13.6
2016-Q1,13.8
2015-Q4,13.8
2015-Q3,14.0
2015-Q2,14.3
2015-Q1,14.1
2014-Q4,14.4
2014-Q3,14.2
2014-Q2,14.1
2014-Q1,14.2
2013-Q4,14.2
2013-Q3,14.2
2013-Q2,14.4
2013-Q1,14.2
2012-Q4,14.0
2012-Q3,13.4
2012-Q2,13.4
2012-Q1,13.1
2011-Q4,12.9
2011-Q3,12.6
2011-Q2,12.4
2011-Q1,12.3
2010-Q4,12.3
2010-Q3,12.3
2010-Q2,12.3
2010-Q1,12.4
2009-Q4,12.8
2009-Q3,12.2
2009-Q2,12.2
2009-Q1,11.6
2008-Q4,10.8
2008-Q3,10.4
2008-Q2,10.2
2008-Q1,10.0
2007-Q4,10.5
2007-Q3,10.9
2007-Q2,11.1
2007-Q1,11.4
2006-Q4,11.3
2006-Q3,12.0
2006-Q2,12.1
2006-Q1,12.5
2005-Q4,12.5
2005-Q3,12.4
2005-Q2,12.1
2005-Q1,11.9
2004-Q4,12.1
2004-Q3,12.2
2004-Q2,12.1
2004-Q1,12.4
2003-Q4,12.3
2003-Q3,12.0
2003-Q2,12.3
2003-Q1,12.3
2002-Q4,12.0
2002-Q3,12.1
2002-Q2,12.2
2002-Q1,12.2
2001-Q4,12.1
2001-Q3,12.1
2001-Q2,12.3
2001-Q1,12.4
2000-Q4,12.8
2000-Q3,13.3
2000-Q2,13.7
2000-Q1,14.2
1999-Q4,14.6
1999-Q3,15.0
1999-Q2,15.2
1999-Q1,15.2
1998-Q4,15.2
1998-Q3,15.0
1998-Q2,15.0
1998-Q1,15.2
1997-Q4,15.5
1997-Q3,15.7
1997-Q2,15.6
1997-Q1,15.4
1996-Q4,15.1
1996-Q3,15.0
1996-Q2,15.0
1996-Q1,14.8
1995-Q4,14.4
1995-Q3,14.2
1995-Q2,14.4
1995-Q1,14.6
1994-Q4,14.9
1994-Q3,15.1
1994-Q2,15.1
1994-Q1,14.9
1993-Q4,14.6
1993-Q3,14.2
1993-Q2,13.9
1993-Q1,13.7
1992-Q4,13.5
1992-Q3,13.3
1992-Q2,13.0
1992-Q1,12.6
1991-Q4,12.3
1991-Q3,12.0
1991-Q2,11.8
1991-Q1,11.6
1990-Q4,11.6
1990-Q3,11.4
1990-Q2,11.5
1990-Q1,11.5
1989-Q4,11.2
1989-Q3,11.3
1989-Q2,11.2
1989-Q1,11.2
1988-Q4,11.4
1988-Q3,11.6
1988-Q2,11.5
1988-Q1,11.6
1987-Q4,11.6
1987-Q3,11.4
1987-Q2,11.7
1987-Q1,12.1
1986-Q4,12.1
1986-Q3,11.9
1986-Q2,11.8
1986-Q1,11.6
1985-Q4,11.6
1985-Q3,12.3
1985-Q2,12.7
1985-Q1,12.8
1984-Q4,12.5
1984-Q3,11.8
1984-Q2,11.5
1984-Q1,11.2
1983-Q4,10.6
1983-Q3,10.2
1983-Q2,10.1
1983-Q1,9.9
1982-Q4,9.9
1982-Q3,9.9
1982-Q2,9.5
1982-Q1,9.2
