année,taux_chomage
2024-Q4,8.3
2024-Q3,8.5
2024-Q2,8.4
2024-Q1,8.7
2023-Q4,8.7
2023-Q3,8.7
2023-Q2,8.5
2023-Q1,8.5
2022-Q4,8.6
2022-Q3,8.7
2022-Q2,8.9
2022-Q1,8.8
2021-Q4,8.8
2021-Q3,9.3
2021-Q2,9.3
2021-Q1,9.5
2020-Q4,9.3
2020-Q3,10.3
2020-Q2,8.4
2020-Q1,9.4
2019-Q4,9.7
2019-Q3,10.0
2019-Q2,10.1
2019-Q1,10.6
2018-Q4,10.6
2018-Q3,10.8
2018-Q2,11.0
2018-Q1,11.3
2017-Q4,10.9
2017-Q3,11.4
2017-Q2,11.3
2017-Q1,11.5
2016-Q4,12.0
2016-Q3,11.5
2016-Q2,11.6
2016-Q1,11.8
2015-Q4,11.9
2015-Q3,12.0
2015-Q2,12.2
2015-Q1,12.0
2014-Q4,12.2
2014-Q3,12.0
2014-Q2,11.9
2014-Q1,11.9
2013-Q4,11.9
2013-Q3,12.1
2013-Q2,12.4
2013-Q1,12.3
2012-Q4,12.1
2012-Q3,11.8
2012-Q2,11.8
2012-Q1,11.7
2011-Q4,11.7
2011-Q3,11.5
2011-Q2,11.4
2011-Q1,11.4
2010-Q4,11.5
2010-Q3,11.4
2010-Q2,11.3
2010-Q1,11.3
2009-Q4,11.6
2009-Q3,11.1
2009-Q2,11.0
2009-Q1,10.5
2008-Q4,9.7
2008-Q3,9.5
2008-Q2,9.5
2008-Q1,9.4
2007-Q4,9.9
2007-Q3,10.5
2007-Q2,10.8
2007-Q1,11.2
2006-Q4,10.9
2006-Q3,11.5
2006-Q2,11.5
2006-Q1,11.7
2005-Q4,11.6
2005-Q3,11.3
2005-Q2,11.0
2005-Q1,10.8
2004-Q4,11.2
2004-Q3,11.1
2004-Q2,11.0
2004-Q1,11.4
2003-Q4,11.3
2003-Q3,11.0
2003-Q2,11.4
2003-Q1,11.3
2002-Q4,10.9
2002-Q3,11.0
2002-Q2,11.2
2002-Q1,11.5
2001-Q4,11.8
2001-Q3,12.0
2001-Q2,12.3
2001-Q1,12.4
2000-Q4,12.7
2000-Q3,13.2
2000-Q2,13.6
2000-Q1,14.1
1999-Q4,14.7
1999-Q3,15.2
1999-Q2,15.6
1999-Q1,15.6
1998-Q4,15.4
1998-Q3,15.2
1998-Q2,15.2
1998-Q1,15.4
1997-Q4,15.6
1997-Q3,15.8
1997-Q2,15.7
1997-Q1,15.6
1996-Q4,15.3
1996-Q3,15.2
1996-Q2,15.1
1996-Q1,14.7
1995-Q4,14.4
1995-Q3,14.3
1995-Q2,14.3
1995-Q1,14.8
1994-Q4,15.0
1994-Q3,15.2
1994-Q2,15.1
1994-Q1,14.9
1993-Q4,14.7
1993-Q3,14.5
1993-Q2,14.1
1993-Q1,13.7
1992-Q4,13.5
1992-Q3,13.2
1992-Q2,12.8
1992-Q1,12.6
1991-Q4,12.2
1991-Q3,11.8
1991-Q2,11.4
1991-Q1,11.3
1990-Q4,11.4
1990-Q3,11.3
1990-Q2,11.3
1990-Q1,11.2
1989-Q4,11.0
1989-Q3,11.0
1989-Q2,11.1
1989-Q1,11.3
1988-Q4,11.5
1988-Q3,11.7
1988-Q2,11.6
1988-Q1,11.6
1987-Q4,11.7
1987-Q3,11.6
1987-Q2,11.5
1987-Q1,11.6
1986-Q4,11.5
1986-Q3,11.3
1986-Q2,11.1
1986-Q1,10.8
1985-Q4,10.9
1985-Q3,11.1
1985-Q2,11.0
1985-Q1,11.1
1984-Q4,10.9
1984-Q3,10.6
1984-Q2,10.3
1984-Q1,10.0
1983-Q4,9.2
1983-Q3,8.9
1983-Q2,9.0
1983-Q1,9.2
1982-Q4,9.2
1982-Q3,8.9
1982-Q2,8.8
1982-Q1,8.8
