année,taux_chomage
2024-Q4,7.7
2024-Q3,7.7
2024-Q2,7.5
2024-Q1,7.5
2023-Q4,7.5
2023-Q3,7.4
2023-Q2,7.3
2023-Q1,7.1
2022-Q4,7.1
2022-Q3,7.2
2022-Q2,7.6
2022-Q1,7.5
2021-Q4,7.6
2021-Q3,8.1
2021-Q2,8.2
2021-Q1,8.5
2020-Q4,8.3
2020-Q3,9.0
2020-Q2,7.1
2020-Q1,7.6
2019-Q4,7.9
2019-Q3,8.0
2019-Q2,8.1
2019-Q1,8.3
2018-Q4,8.2
2018-Q3,8.5
2018-Q2,8.7
2018-Q1,8.8
2017-Q4,8.6
2017-Q3,9.3
2017-Q2,9.4
2017-Q1,9.5
2016-Q4,10.0
2016-Q3,9.9
2016-Q2,10.2
2016-Q1,10.4
2015-Q4,10.5
2015-Q3,10.6
2015-Q2,10.7
2015-Q1,10.6
2014-Q4,10.7
2014-Q3,10.5
2014-Q2,10.4
2014-Q1,10.3
2013-Q4,10.3
2013-Q3,10.3
2013-Q2,10.4
2013-Q1,10.2
2012-Q4,10.0
2012-Q3,9.8
2012-Q2,9.7
2012-Q1,9.4
2011-Q4,9.4
2011-Q3,9.2
2011-Q2,9.0
2011-Q1,9.1
2010-Q4,9.2
2010-Q3,9.2
2010-Q2,9.2
2010-Q1,9.2
2009-Q4,9.3
2009-Q3,9.0
2009-Q2,9.0
2009-Q1,8.3
2008-Q4,7.8
2008-Q3,7.5
2008-Q2,7.4
2008-Q1,7.2
2007-Q4,7.6
2007-Q3,8.1
2007-Q2,8.4
2007-Q1,8.7
2006-Q4,8.7
2006-Q3,9.2
2006-Q2,9.2
2006-Q1,9.5
2005-Q4,9.5
2005-Q3,9.4
2005-Q2,9.2
2005-Q1,9.0
2004-Q4,9.4
2004-Q3,9.3
2004-Q2,9.2
2004-Q1,9.4
2003-Q4,9.2
2003-Q3,8.9
2003-Q2,9.0
2003-Q1,9.1
2002-Q4,8.8
2002-Q3,8.8
2002-Q2,8.9
2002-Q1,9.0
2001-Q4,9.0
2001-Q3,9.3
2001-Q2,9.5
2001-Q1,9.5
2000-Q4,9.7
2000-Q3,10.0
2000-Q2,9.9
2000-Q1,10.3
1999-Q4,10.8
1999-Q3,11.2
1999-Q2,11.3
1999-Q1,11.4
1998-Q4,11.2
1998-Q3,11.1
1998-Q2,11.2
1998-Q1,11.2
1997-Q4,11.4
1997-Q3,11.4
1997-Q2,11.4
1997-Q1,11.4
1996-Q4,11.2
1996-Q3,11.1
1996-Q2,11.0
1996-Q1,10.7
1995-Q4,10.3
1995-Q3,10.2
1995-Q2,10.2
1995-Q1,10.4
1994-Q4,10.5
1994-Q3,10.7
1994-Q2,10.8
1994-Q1,10.7
1993-Q4,10.5
1993-Q3,10.3
1993-Q2,10.0
1993-Q1,9.9
1992-Q4,9.7
1992-Q3,9.4
1992-Q2,9.2
1992-Q1,8.8
1991-Q4,8.4
1991-Q3,8.2
1991-Q2,7.9
1991-Q1,7.7
1990-Q4,7.6
1990-Q3,7.6
1990-Q2,8.0
1990-Q1,8.3
1989-Q4,8.3
1989-Q3,8.4
1989-Q2,8.5
1989-Q1,8.5
1988-Q4,8.6
1988-Q3,8.7
1988-Q2,8.7
1988-Q1,8.8
1987-Q4,8.7
1987-Q3,8.6
1987-Q2,8.6
1987-Q1,8.6
1986-Q4,8.5
1986-Q3,8.5
1986-Q2,8.4
1986-Q1,8.4
1985-Q4,8.7
1985-Q3,8.8
1985-Q2,8.7
1985-Q1,8.7
1984-Q4,8.5
1984-Q3,8.4
1984-Q2,8.6
1984-Q1,8.5
1983-Q4,8.0
1983-Q3,7.8
1983-Q2,7.8
1983-Q1,7.9
1982-Q4,8.2
1982-Q3,8.3
1982-Q2,8.1
1982-Q1,7.9
