année,taux_chomage
2024-Q4,9.5
2024-Q3,9.7
2024-Q2,9.7
2024-Q1,9.9
2023-Q4,9.9
2023-Q3,9.8
2023-Q2,9.5
2023-Q1,9.4
2022-Q4,9.4
2022-Q3,9.5
2022-Q2,9.5
2022-Q1,9.5
2021-Q4,9.6
2021-Q3,10.2
2021-Q2,10.2
2021-Q1,10.4
2020-Q4,10.2
2020-Q3,11.4
2020-Q2,9.2
2020-Q1,10.2
2019-Q4,10.6
2019-Q3,10.8
2019-Q2,11.0
2019-Q1,11.5
2018-Q4,11.4
2018-Q3,11.5
2018-Q2,11.7
2018-Q1,11.9
2017-Q4,11.7
2017-Q3,12.0
2017-Q2,12.0
2017-Q1,12.2
2016-Q4,12.9
2016-Q3,12.6
2016-Q2,12.8
2016-Q1,13.0
2015-Q4,13.0
2015-Q3,12.9
2015-Q2,13.1
2015-Q1,12.9
2014-Q4,13.0
2014-Q3,12.8
2014-Q2,12.6
2014-Q1,12.4
2013-Q4,12.4
2013-Q3,12.6
2013-Q2,12.8
2013-Q1,12.7
2012-Q4,12.5
2012-Q3,12.0
2012-Q2,11.9
2012-Q1,11.6
2011-Q4,11.7
2011-Q3,11.5
2011-Q2,11.2
2011-Q1,11.0
2010-Q4,10.9
2010-Q3,10.8
2010-Q2,10.8
2010-Q1,10.9
2009-Q4,11.2
2009-Q3,10.5
2009-Q2,10.5
2009-Q1,10.0
2008-Q4,9.2
2008-Q3,8.9
2008-Q2,8.7
2008-Q1,8.5
2007-Q4,9.0
2007-Q3,9.5
2007-Q2,9.8
2007-Q1,10.1
2006-Q4,9.8
2006-Q3,10.3
2006-Q2,10.3
2006-Q1,10.5
2005-Q4,10.4
2005-Q3,10.2
2005-Q2,9.9
2005-Q1,9.5
2004-Q4,9.7
2004-Q3,9.6
2004-Q2,9.4
2004-Q1,9.7
2003-Q4,9.5
2003-Q3,9.4
2003-Q2,9.5
2003-Q1,9.4
2002-Q4,9.0
2002-Q3,9.2
2002-Q2,9.3
2002-Q1,9.5
2001-Q4,9.7
2001-Q3,9.7
2001-Q2,9.8
2001-Q1,9.8
2000-Q4,10.1
2000-Q3,10.6
2000-Q2,11.0
2000-Q1,11.4
1999-Q4,11.8
1999-Q3,12.2
1999-Q2,12.5
1999-Q1,12.6
1998-Q4,12.6
1998-Q3,12.5
1998-Q2,12.5
1998-Q1,12.5
1997-Q4,12.8
1997-Q3,12.8
1997-Q2,12.7
1997-Q1,12.6
1996-Q4,12.4
1996-Q3,12.3
1996-Q2,12.2
1996-Q1,12.0
1995-Q4,11.7
1995-Q3,11.5
1995-Q2,11.8
1995-Q1,12.2
1994-Q4,12.3
1994-Q3,12.4
1994-Q2,12.4
1994-Q1,12.3
1993-Q4,12.1
1993-Q3,12.1
1993-Q2,12.0
1993-Q1,11.8
1992-Q4,11.5
1992-Q3,11.1
1992-Q2,10.6
1992-Q1,10.3
1991-Q4,10.0
1991-Q3,9.7
1991-Q2,9.4
1991-Q1,9.3
1990-Q4,9.5
1990-Q3,9.4
1990-Q2,9.2
1990-Q1,8.9
1989-Q4,8.6
1989-Q3,8.6
1989-Q2,8.8
1989-Q1,9.0
1988-Q4,9.1
1988-Q3,9.4
1988-Q2,9.2
1988-Q1,9.3
1987-Q4,9.5
1987-Q3,9.5
1987-Q2,9.8
1987-Q1,10.1
1986-Q4,10.2
1986-Q3,10.2
1986-Q2,10.1
1986-Q1,10.0
1985-Q4,10.3
1985-Q3,10.4
1985-Q2,10.3
1985-Q1,10.3
1984-Q4,10.0
1984-Q3,9.9
1984-Q2,9.9
1984-Q1,9.5
1983-Q4,8.8
1983-Q3,8.3
1983-Q2,8.1
1983-Q1,8.1
1982-Q4,7.9
1982-Q3,7.2
1982-Q2,6.5
1982-Q1,6.4
