année,taux_chomage
2024-Q4,6.9
2024-Q3,7.0
2024-Q2,6.8
2024-Q1,6.8
2023-Q4,6.7
2023-Q3,6.6
2023-Q2,6.5
2023-Q1,6.3
2022-Q4,6.3
2022-Q3,6.5
2022-Q2,6.6
2022-Q1,6.5
2021-Q4,6.8
2021-Q3,7.2
2021-Q2,7.3
2021-Q1,7.5
2020-Q4,7.3
2020-Q3,8.5
2020-Q2,6.9
2020-Q1,7.2
2019-Q4,7.5
2019-Q3,7.6
2019-Q2,7.6
2019-Q1,7.6
2018-Q4,7.5
2018-Q3,7.7
2018-Q2,7.8
2018-Q1,7.9
2017-Q4,7.6
2017-Q3,8.2
2017-Q2,8.5
2017-Q1,8.7
2016-Q4,9.0
2016-Q3,9.0
2016-Q2,9.2
2016-Q1,9.3
2015-Q4,9.3
2015-Q3,9.5
2015-Q2,9.7
2015-Q1,9.5
2014-Q4,9.6
2014-Q3,9.4
2014-Q2,9.3
2014-Q1,9.3
2013-Q4,9.3
2013-Q3,9.4
2013-Q2,9.6
2013-Q1,9.6
2012-Q4,9.4
2012-Q3,9.0
2012-Q2,8.8
2012-Q1,8.4
2011-Q4,8.4
2011-Q3,8.3
2011-Q2,8.3
2011-Q1,8.5
2010-Q4,8.8
2010-Q3,9.0
2010-Q2,9.3
2010-Q1,9.4
2009-Q4,9.9
2009-Q3,9.4
2009-Q2,9.4
2009-Q1,8.6
2008-Q4,7.4
2008-Q3,6.8
2008-Q2,6.6
2008-Q1,6.5
2007-Q4,6.9
2007-Q3,7.2
2007-Q2,7.4
2007-Q1,7.8
2006-Q4,8.0
2006-Q3,8.4
2006-Q2,8.4
2006-Q1,8.3
2005-Q4,8.2
2005-Q3,8.1
2005-Q2,7.8
2005-Q1,7.6
2004-Q4,7.8
2004-Q3,7.7
2004-Q2,7.7
2004-Q1,8.0
2003-Q4,7.9
2003-Q3,7.1
2003-Q2,7.0
2003-Q1,6.9
2002-Q4,6.5
2002-Q3,6.4
2002-Q2,6.4
2002-Q1,6.4
2001-Q4,6.0
2001-Q3,5.5
2001-Q2,5.1
2001-Q1,5.1
2000-Q4,5.4
2000-Q3,6.0
2000-Q2,6.4
2000-Q1,6.7
1999-Q4,7.2
1999-Q3,7.6
1999-Q2,7.9
1999-Q1,8.0
1998-Q4,7.9
1998-Q3,7.9
1998-Q2,8.1
1998-Q1,8.2
1997-Q4,8.4
1997-Q3,8.6
1997-Q2,8.6
1997-Q1,8.6
1996-Q4,8.4
1996-Q3,8.2
1996-Q2,8.1
1996-Q1,7.8
1995-Q4,7.4
1995-Q3,7.2
1995-Q2,7.3
1995-Q1,7.6
1994-Q4,7.9
1994-Q3,8.3
1994-Q2,8.5
1994-Q1,8.6
1993-Q4,8.6
1993-Q3,8.4
1993-Q2,8.1
1993-Q1,7.8
1992-Q4,7.7
1992-Q3,7.5
1992-Q2,7.3
1992-Q1,7.1
1991-Q4,6.8
1991-Q3,6.6
1991-Q2,6.4
1991-Q1,6.3
1990-Q4,6.2
1990-Q3,6.0
1990-Q2,5.9
1990-Q1,6.1
1989-Q4,6.4
1989-Q3,6.6
1989-Q2,6.9
1989-Q1,7.2
1988-Q4,7.7
1988-Q3,8.2
1988-Q2,8.5
1988-Q1,8.8
1987-Q4,8.8
1987-Q3,8.7
1987-Q2,8.8
1987-Q1,8.7
1986-Q4,8.4
1986-Q3,8.2
1986-Q2,8.2
1986-Q1,8.2
1985-Q4,8.2
1985-Q3,8.3
1985-Q2,8.1
1985-Q1,8.2
1984-Q4,8.3
1984-Q3,8.2
1984-Q2,8.2
1984-Q1,7.9
1983-Q4,7.5
1983-Q3,7.1
1983-Q2,6.8
1983-Q1,6.9
1982-Q4,7.0
1982-Q3,6.9
1982-Q2,6.7
1982-Q1,6.5
