année,taux_chomage
2024-Q4,10.2
2024-Q3,10.6
2024-Q2,10.5
2024-Q1,10.7
2023-Q4,10.8
2023-Q3,10.5
2023-Q2,10.3
2023-Q1,10.3
2022-Q4,10.2
2022-Q3,10.3
2022-Q2,10.6
2022-Q1,10.5
2021-Q4,10.6
2021-Q3,11.2
2021-Q2,10.9
2021-Q1,11.3
2020-Q4,11.0
2020-Q3,12.1
2020-Q2,9.6
2020-Q1,11.2
2019-Q4,11.4
2019-Q3,11.5
2019-Q2,11.7
2019-Q1,12.1
2018-Q4,12.0
2018-Q3,12.2
2018-Q2,12.5
2018-Q1,12.9
2017-Q4,12.5
2017-Q3,13.1
2017-Q2,13.1
2017-Q1,13.2
2016-Q4,13.7
2016-Q3,13.4
2016-Q2,13.6
2016-Q1,13.8
2015-Q4,13.8
2015-Q3,13.8
2015-Q2,14.0
2015-Q1,13.8
2014-Q4,14.0
2014-Q3,13.9
2014-Q2,13.8
2014-Q1,13.9
2013-Q4,13.9
2013-Q3,14.2
2013-Q2,14.4
2013-Q1,14.3
2012-Q4,14.2
2012-Q3,13.6
2012-Q2,13.6
2012-Q1,13.3
2011-Q4,13.0
2011-Q3,12.5
2011-Q2,12.5
2011-Q1,12.5
2010-Q4,12.5
2010-Q3,12.5
2010-Q2,12.4
2010-Q1,12.5
2009-Q4,12.7
2009-Q3,12.3
2009-Q2,12.2
2009-Q1,11.3
2008-Q4,10.3
2008-Q3,9.9
2008-Q2,9.6
2008-Q1,9.3
2007-Q4,9.7
2007-Q3,10.1
2007-Q2,10.2
2007-Q1,10.7
2006-Q4,10.6
2006-Q3,11.1
2006-Q2,11.2
2006-Q1,11.4
2005-Q4,11.4
2005-Q3,11.1
2005-Q2,10.7
2005-Q1,10.4
2004-Q4,10.6
2004-Q3,10.5
2004-Q2,10.4
2004-Q1,10.5
2003-Q4,10.2
2003-Q3,9.9
2003-Q2,10.1
2003-Q1,9.9
2002-Q4,9.4
2002-Q3,9.3
2002-Q2,9.3
2002-Q1,9.3
2001-Q4,9.5
2001-Q3,9.7
2001-Q2,9.7
2001-Q1,9.9
2000-Q4,10.0
2000-Q3,10.1
2000-Q2,10.5
2000-Q1,10.8
1999-Q4,11.2
1999-Q3,11.4
1999-Q2,11.7
1999-Q1,11.6
1998-Q4,11.5
1998-Q3,11.4
1998-Q2,11.5
1998-Q1,11.6
1997-Q4,11.9
1997-Q3,11.9
1997-Q2,11.9
1997-Q1,11.8
1996-Q4,11.7
1996-Q3,11.6
1996-Q2,11.4
1996-Q1,11.2
1995-Q4,10.9
1995-Q3,10.8
1995-Q2,11.0
1995-Q1,11.2
1994-Q4,11.5
1994-Q3,11.7
1994-Q2,11.7
1994-Q1,11.6
1993-Q4,11.2
1993-Q3,10.7
1993-Q2,10.2
1993-Q1,9.7
1992-Q4,9.4
1992-Q3,9.3
1992-Q2,9.2
1992-Q1,9.1
1991-Q4,8.8
1991-Q3,8.6
1991-Q2,8.3
1991-Q1,8.2
1990-Q4,8.5
1990-Q3,8.6
1990-Q2,8.8
1990-Q1,8.9
1989-Q4,9.1
1989-Q3,9.1
1989-Q2,9.3
1989-Q1,9.7
1988-Q4,10.0
1988-Q3,10.2
1988-Q2,10.2
1988-Q1,10.4
1987-Q4,10.3
1987-Q3,10.3
1987-Q2,10.4
1987-Q1,10.6
1986-Q4,10.6
1986-Q3,10.5
1986-Q2,10.4
1986-Q1,10.2
1985-Q4,10.4
1985-Q3,10.4
1985-Q2,10.3
1985-Q1,10.5
1984-Q4,10.5
1984-Q3,10.4
1984-Q2,10.1
1984-Q1,9.6
1983-Q4,9.1
1983-Q3,8.7
1983-Q2,8.5
1983-Q1,8.5
1982-Q4,8.4
1982-Q3,8.5
1982-Q2,8.4
1982-Q1,8.2
