année,population
2025,1129950
2024,1124992
2023,1119807
2022,1114579
2021,1103941
2020,1097410
2019,1094283
2018,1086219
2017,1083310
2016,1083704
2015,1082440
2014,1083312
2013,1080771
2012,1082014
2011,1081244
2010,1078729
2009,1079100
2008,1084428
2007,1082465
2006,1073184
2005,1063500
2004,1053182
2003,1044429
2002,1035271
2001,1026455
2000,1017956
1999,1010644
1998,1006282
1997,1002360
1996,1000154
1995,998702
1994,998779
1993,993695
1992,989251
1991,981331
1990,972380
1989,958441
1988,946852
1987,935609
1986,922321
1985,908669
1984,901112
1983,893111
1982,880814
1981,870095
1980,860094
1979,850607
1978,841877
1977,832611
1976,823536
1975,815838
