année,population
2025,518817
2024,521152
2023,523228
2022,525558
2021,527468
2020,529374
2019,531345
2018,533316
2017,534490
2016,536136
2015,538659
2014,539783
2013,540067
2012,540888
2011,541302
2010,540508
2009,539870
2008,538790
2007,537820
2006,537061
2005,536798
2004,536464
2003,536651
2002,536784
2001,536626
2000,536260
1999,536181
1998,536629
1997,537751
1996,538017
1995,538324
1994,537926
1993,538219
1992,537755
1991,537263
1990,536896
1989,537196
1988,536875
1987,536586
1986,536341
1985,534807
1984,535865
1983,534972
1982,534485
1981,533972
1980,533201
1979,533396
1978,533919
1977,533935
1976,534270
1975,534439
