année,population
2025,688626
2024,683034
2023,677187
2022,671289
2021,663202
2020,657856
2019,652432
2018,647634
2017,643350
2016,638425
2015,631877
2014,626127
2013,619497
2012,612191
2011,603827
2010,597341
2009,588853
2008,581355
2007,574377
2006,566740
2005,558968
2004,550939
2003,543136
2002,535616
2001,528195
2000,521103
1999,514331
1998,509520
1997,504201
1996,499310
1995,495127
1994,491135
1993,488244
1992,482557
1991,476982
1990,470651
1989,462787
1988,456284
1987,449311
1986,442444
1985,435630
1984,429980
1983,422743
1982,417323
1981,410598
1980,404139
1979,398343
1978,392980
1977,387207
1976,381326
1975,376277
