année,population
2025,729358
2024,730498
2023,731744
2022,732898
2021,732486
2020,732590
2019,733760
2018,733469
2017,733481
2016,733821
2015,734403
2014,732153
2013,731004
2012,733266
2011,733124
2010,732207
2009,731019
2008,729768
2007,726592
2006,725302
2005,723797
2004,721734
2003,720638
2002,719199
2001,717358
2000,715684
1999,714295
1998,715062
1997,716448
1996,717201
1995,717273
1994,716518
1993,715492
1992,713614
1991,711758
1990,711367
1989,713281
1988,713921
1987,716406
1986,718980
1985,722396
1984,720515
1983,719030
1982,717456
1981,717438
1980,717818
1979,718640
1978,720078
1977,720599
1976,721689
1975,723002
