année,population
2025,2090225
2024,2083682
2023,2076707
2022,2069811
2021,2056943
2020,2048070
2019,2043110
2018,2034357
2017,2024162
2016,2019717
2015,2016622
2014,2006069
2013,1993177
2012,1984784
2011,1975896
2010,1972018
2009,1967299
2008,1966005
2007,1958926
2006,1937405
2005,1921821
2004,1905689
2003,1891344
2002,1876310
2001,1860948
2000,1846878
1999,1833982
1998,1824390
1997,1815271
1996,1809226
1995,1802202
1994,1794222
1993,1788025
1992,1777351
1991,1768054
1990,1758064
1989,1755288
1988,1750767
1987,1742242
1986,1737244
1985,1735763
1984,1732805
1983,1729336
1982,1724697
1981,1710194
1980,1695440
1979,1682148
1978,1669517
1977,1656202
1976,1643806
1975,1631982
