année,population
2025,936238
2024,933628
2023,930710
2022,927912
2021,921638
2020,917179
2019,915090
2018,911735
2017,909028
2016,908249
2015,907796
2014,905855
2013,903921
2012,901293
2011,899870
2010,897628
2009,893914
2008,890509
2007,885906
2006,883001
2005,878532
2004,873568
2003,869205
2002,865006
2001,860540
2000,855924
1999,852273
1998,849779
1997,847075
1996,844116
1995,841298
1994,840565
1993,839672
1992,838457
1991,838401
1990,838366
1989,836889
1988,835457
1987,834191
1986,833230
1985,832037
1984,830834
1983,830215
1982,828751
1981,824571
1980,820439
1979,817026
1978,813911
1977,810270
1976,807446
1975,804480
