année,population
2025,538799
2024,538508
2023,538080
2022,537577
2021,535503
2020,535078
2019,534124
2018,533220
2017,533819
2016,533213
2015,533147
2014,531380
2013,529761
2012,527403
2011,525931
2010,524358
2009,524144
2008,521608
2007,519143
2006,517168
2005,515829
2004,514022
2003,512591
2002,511197
2001,509714
2000,508015
1999,506699
1998,506212
1997,505716
1996,504022
1995,502767
1994,500929
1993,499519
1992,497563
1991,495531
1990,493471
1989,491437
1988,489028
1987,486814
1986,483850
1985,481032
1984,478335
1983,475971
1982,473614
1981,470845
1980,467998
1979,465375
1978,463018
1977,460308
1976,458180
1975,455934
