année,population
2025,2048472
2024,2070806
2023,2092813
2022,2113705
2021,2133111
2020,2145906
2019,2165423
2018,2175601
2017,2187526
2016,2190327
2015,2206488
2014,2220445
2013,2229621
2012,2240621
2011,2249975
2010,2243833
2009,2234105
2008,2211297
2007,2193030
2006,2181371
2005,2172186
2004,2161932
2003,2154521
2002,2145472
2001,2137442
2000,2129731
1999,2123686
1998,2111315
1997,2110869
1996,2116512
1995,2120545
1994,2129856
1993,2132475
1992,2139928
1991,2145912
1990,2150147
1989,2156455
1988,2158732
1987,2164159
1986,2165394
1985,2165978
1984,2168999
1983,2178277
1982,2180321
1981,2195328
1980,2211156
1979,2229529
1978,2249644
1977,2267113
1976,2286548
1975,2309074
