année,population
2025,2615505
2024,2616167
2023,2616339
2022,2616909
2021,2611293
2020,2607746
2019,2608346
2018,2606234
2017,2604361
2016,2603723
2015,2605238
2014,2603472
2013,2595536
2012,2587128
2011,2579208
2010,2576770
2009,2571940
2008,2564959
2007,2564950
2006,2565257
2005,2563886
2004,2561038
2003,2559871
2002,2558213
2001,2555959
2000,2554638
1999,2555471
1998,2554942
1997,2553508
1996,2552731
1995,2548948
1994,2544978
1993,2541429
1992,2536843
1991,2531624
1990,2529495
1989,2523977
1988,2517599
1987,2519805
1986,2515827
1985,2515778
1984,2520403
1983,2532887
1982,2520997
1981,2515543
1980,2511503
1979,2509918
1978,2510976
1977,2510107
1976,2510975
1975,2511592
