année,population
2025,1718654
2024,1704597
2023,1689714
2022,1674980
2021,1654970
2020,1636391
2019,1623749
2018,1601845
2017,1583384
2016,1566679
2015,1548478
2014,1526016
2013,1505517
2012,1483712
2011,1463662
2010,1449245
2009,1434661
2008,1421276
2007,1409345
2006,1393758
2005,1377991
2004,1361225
2003,1345768
2002,1330095
2001,1314667
2000,1299777
1999,1286072
1998,1276453
1997,1270159
1996,1263427
1995,1256465
1994,1249226
1993,1243092
1992,1233378
1991,1223957
1990,1213540
1989,1201218
1988,1190415
1987,1180145
1986,1170733
1985,1159515
1984,1146298
1983,1137928
1982,1127934
1981,1117228
1980,1106514
1979,1096876
1978,1088355
1977,1079046
1976,1069680
1975,1061695
