année,population
2025,896175
2024,892102
2023,886453
2022,881348
2021,871157
2020,863083
2019,861210
2018,855961
2017,853659
2016,852924
2015,850727
2014,842767
2013,835103
2012,833944
2011,828581
2010,821136
2009,816364
2008,808250
2007,794107
2006,781962
2005,772907
2004,761630
2003,750840
2002,740207
2001,729010
2000,716314
1999,703820
1998,692184
1997,680185
1996,668915
1995,657162
1994,645093
1993,633030
1992,620333
1991,607837
1990,597828
