année,population
2025,1510913
2024,1498959
2023,1486149
2022,1473156
2021,1457806
2020,1445171
2019,1429272
2018,1412502
2017,1394909
2016,1380852
2015,1365227
2014,1346592
2013,1328620
2012,1313321
2011,1296364
2010,1282052
2009,1266358
2008,1255871
2007,1246798
2006,1234085
2005,1218810
2004,1203474
2003,1189157
2002,1174492
2001,1160239
2000,1146058
1999,1133247
1998,1124006
1997,1114088
1996,1105020
1995,1096033
1994,1087854
1993,1079601
1992,1068983
1991,1058966
1990,1050539
1989,1044750
1988,1037423
1987,1032981
1986,1023924
1985,1017477
1984,1012071
1983,1004897
1982,994268
1981,985030
1980,975924
1979,967252
1978,958981
1977,950393
1976,942145
1975,934066
