année,population
2025,1252904
2024,1241541
2023,1229560
2022,1217331
2021,1201883
2020,1188973
2019,1175623
2018,1159220
2017,1144892
2016,1132481
2015,1120190
2014,1107398
2013,1092331
2012,1077627
2011,1062036
2010,1044558
2009,1031974
2008,1019798
2007,1011207
2006,1001041
2005,985113
2004,968476
2003,952865
2002,936987
2001,921521
2000,907747
1999,894537
1998,884890
1997,872270
1996,861681
1995,850037
1994,839568
1993,829197
1992,817317
1991,805887
1990,794642
1989,780752
1988,769016
1987,762103
1986,752727
1985,745875
1984,730531
1983,718620
1982,704605
1981,695454
1980,686633
1979,678453
1978,671090
1977,662975
1976,654849
1975,648027
