année,population
2025,1135917
2024,1126788
2023,1117572
2022,1108364
2021,1095337
2020,1085189
2019,1076711
2018,1067697
2017,1058740
2016,1055821
2015,1048652
2014,1038212
2013,1028583
2012,1021669
2011,1012735
2010,1008183
2009,1007303
2008,1001408
2007,995934
2006,985099
2005,972379
2004,958745
2003,946272
2002,933602
2001,921032
2000,908895
1999,897585
1998,891598
1997,882587
1996,871505
1995,864290
1994,856303
1993,846896
1992,837166
1991,825813
1990,815714
1989,799602
1988,785799
1987,771200
1986,758209
1985,744583
1984,731197
1983,719193
1982,707522
1981,694538
1980,681695
1979,669878
1978,659141
1977,647299
1976,635605
1975,625825
